,date,Exchange_OpeningPrice,Exchange_Max,Exchange_Min,Exchange_ClosingPrice,Oilprice_OpeningPrice,Oilprice_Max,Oilprice_Min,Oilprice_ClosingPrice
0,2021/04/15,0.8348,0.8363,0.8339,0.8354,66.61,67.01,65.92,66.97
1,2021/04/14,0.8368,0.8369,0.8342,0.8348,64.61,66.9,64.22,66.63
2,2021/04/13,0.8394,0.8415,0.8365,0.8368,63.79,64.2,63.27,63.57
3,2021/04/12,0.8406,0.8423,0.839,0.8394,62.62,64.3,62.38,63.3
4,2021/04/09,0.8393,0.8426,0.8389,0.8403,62.9,63.35,62.57,62.95
5,2021/04/08,0.8425,0.8431,0.8384,0.8392,62.78,63.42,62.38,63.09
6,2021/04/07,0.8422,0.8431,0.8394,0.8425,62.96,63.52,61.57,63.09
7,2021/04/06,0.8465,0.8477,0.8419,0.8423,62.66,64.27,62.59,62.71
8,2021/04/01,0.8527,0.8537,0.849,0.8492,63.24,65.05,62.47,64.87
9,2021/03/31,0.8533,0.8544,0.8504,0.8527,64.64,64.8,63.52,63.66
10,2021/03/30,0.8499,0.8537,0.8494,0.8534,64.67,65.15,63.52,64.1
11,2021/03/29,0.8488,0.8503,0.848,0.8498,63.66,65.44,63.53,64.85
12,2021/03/26,0.8494,0.8495,0.8473,0.8479,63.11,64.91,62.89,64.41
13,2021/03/25,0.8466,0.8502,0.8455,0.8495,63.55,63.86,60.97,61.81
14,2021/03/24,0.8441,0.8468,0.8438,0.8466,61.45,64.57,61.45,64.25
15,2021/03/23,0.838,0.8444,0.8375,0.8439,63.89,63.96,60.49,60.56
16,2021/03/22,0.8414,0.8421,0.8371,0.8379,63.78,65.02,63.78,64.61
17,2021/03/19,0.8391,0.8422,0.8378,0.84,63.12,64.57,62.07,64.38
18,2021/03/18,0.8348,0.8399,0.8342,0.8391,67.31,68.14,64.1,64.41
19,2021/03/17,0.8402,0.8413,0.8343,0.8347,68.74,68.76,66.94,68.08
20,2021/03/16,0.8386,0.8415,0.8367,0.8402,68.5,68.67,67.5,68.33
21,2021/03/15,0.8363,0.8395,0.836,0.8385,69.95,69.98,67.85,68.76
22,2021/03/12,0.8345,0.8396,0.8342,0.8366,69.39,69.92,69.13,69.17
23,2021/03/11,0.8384,0.8392,0.834,0.8345,68.25,69.68,68.15,69.51
24,2021/03/10,0.8402,0.8425,0.8382,0.8385,67.61,68.44,66.79,67.8
25,2021/03/09,0.8441,0.8448,0.8393,0.8402,68.19,69.31,67.35,67.43
26,2021/03/08,0.8384,0.8443,0.8383,0.844,70.16,70.26,67.8,67.84
27,2021/03/05,0.8351,0.8403,0.8351,0.8396,67.86,69.58,67.54,69.32
28,2021/03/04,0.8288,0.836,0.8288,0.8349,64.64,67.71,63.38,66.97
29,2021/03/03,0.8275,0.8303,0.8258,0.829,62.89,64.7,62.59,64.36
30,2021/03/02,0.8299,0.8338,0.8268,0.8275,62.8,64.13,62.64,63.55
31,2021/03/01,0.8275,0.8313,0.827,0.8298,65.47,65.55,63.19,63.74
32,2021/02/26,0.821,0.829,0.8209,0.8283,66.38,66.57,65.66,66.06
33,2021/02/25,0.822,0.8226,0.8169,0.8208,67.65,67.73,66.47,66.68
34,2021/02/24,0.823,0.8258,0.8214,0.8221,65.38,67.29,65.18,67.16
35,2021/02/23,0.8224,0.824,0.8212,0.8231,66.05,66.57,64.45,65.42
36,2021/02/22,0.8247,0.827,0.8218,0.8223,63.33,65.05,63.15,64.98
37,2021/02/19,0.8269,0.8276,0.8234,0.8252,63.02,63.97,62.46,63.02
38,2021/02/18,0.8303,0.8308,0.8268,0.827,64.99,65.08,63.24,63.29
39,2021/02/17,0.8262,0.8316,0.8262,0.8302,63.94,64.77,63.11,64.23
40,2021/02/16,0.8244,0.8267,0.8218,0.8263,63.41,63.42,62.67,63.24
41,2021/02/15,0.8246,0.825,0.8234,0.8245,63.42,63.68,63.05,63.18
42,2021/02/12,0.8242,0.8276,0.8242,0.8251,60.61,62.85,60.33,62.72
43,2021/02/11,0.8251,0.8255,0.8232,0.8242,61.18,61.5,60.82,61.16
44,2021/02/10,0.8252,0.8258,0.8235,0.8252,61.02,61.67,60.95,61.4
45,2021/02/09,0.8298,0.83,0.825,0.8253,61.0,61.23,60.03,61.15
46,2021/02/08,0.8307,0.8319,0.8289,0.8299,60.11,60.65,59.83,60.34
47,2021/02/05,0.8358,0.8366,0.8299,0.8299,59.19,59.78,59.13,59.57
48,2021/02/04,0.8308,0.8363,0.8304,0.8359,58.94,59.06,58.03,58.83
49,2021/02/03,0.8304,0.8329,0.8299,0.831,58.01,58.91,57.65,58.5
50,2021/02/02,0.8291,0.8325,0.8273,0.8303,56.85,58.04,56.84,57.51
51,2021/02/01,0.8246,0.8294,0.8242,0.829,55.59,56.32,55.26,56.23
52,2021/01/29,0.8249,0.8268,0.8227,0.8239,55.44,56.38,55.35,55.91
53,2021/01/28,0.8257,0.8277,0.8236,0.8251,55.56,56.58,55.3,55.76
54,2021/01/27,0.8222,0.8291,0.8217,0.8258,56.14,56.48,55.19,55.91
55,2021/01/26,0.8235,0.8259,0.8214,0.8222,55.5,56.34,55.5,55.91
56,2021/01/25,0.8221,0.8253,0.8208,0.8237,55.74,56.01,55.08,55.59
57,2021/01/22,0.8217,0.8229,0.8205,0.8216,55.31,55.72,54.46,55.46
58,2021/01/21,0.8258,0.8258,0.8217,0.8219,55.83,56.22,55.46,56.11
59,2021/01/20,0.8246,0.828,0.8226,0.8258,56.33,56.62,55.98,56.04
