,Datum,mean
0,2021-07-05,76.66
1,2021-07-02,75.759995
2,2021-07-01,75.41499
3,2021-06-30,75.0125
4,2021-06-29,74.59
5,2021-06-28,75.392494
6,2021-06-25,75.7675
7,2021-06-24,75.29
8,2021-06-23,75.415
9,2021-06-22,74.847496
10,2021-06-21,74.1175
11,2021-06-18,73.0375
12,2021-06-17,73.350006
13,2021-06-16,74.42
14,2021-06-15,73.542496
15,2021-06-14,73.06
16,2021-06-11,72.67999
17,2021-06-10,72.04
18,2021-06-09,72.3075
19,2021-06-08,71.42
20,2021-06-07,71.4925
21,2021-06-04,71.6725
22,2021-06-03,71.325005
23,2021-06-02,70.9
24,2021-06-01,70.4525
25,2021-05-31,69.415
26,2021-05-28,69.555
27,2021-05-27,68.69
28,2021-05-26,68.71751
29,2021-05-25,68.435
30,2021-05-24,67.942505
31,2021-05-21,65.825
32,2021-05-20,66.035
33,2021-05-19,67.082504
34,2021-05-18,68.987495
35,2021-05-17,69.0225
36,2021-05-14,67.7075
37,2021-05-13,67.385
38,2021-05-12,69.240005
39,2021-05-11,68.0775
40,2021-05-10,68.3925
41,2021-05-07,68.1
42,2021-05-06,68.6275
43,2021-05-05,69.07
44,2021-05-04,68.1775
45,2021-05-03,67.067505
46,2021-04-30,67.75751
47,2021-04-29,68.135
48,2021-04-28,66.96
49,2021-04-27,66.0925
50,2021-04-26,65.485
51,2021-04-23,65.8
52,2021-04-22,65.14
53,2021-04-21,65.8
54,2021-04-20,66.94
55,2021-04-19,66.775
56,2021-04-16,66.945
57,2021-04-15,66.6275
58,2021-04-14,65.590004
59,2021-04-13,63.707497
60,2021-04-12,63.15
61,2021-04-09,62.9425
62,2021-04-08,62.9175
63,2021-04-07,62.784996
64,2021-04-06,63.057495
65,2021-04-01,63.9075
66,2021-03-31,64.155
67,2021-03-30,64.36
68,2021-03-29,64.37
69,2021-03-26,63.83
70,2021-03-25,62.5475
71,2021-03-24,62.93
72,2021-03-23,62.225
73,2021-03-22,64.2975
74,2021-03-19,63.535004
75,2021-03-18,65.99
76,2021-03-17,68.130005
77,2021-03-16,68.25
78,2021-03-15,69.135
79,2021-03-12,69.4025
80,2021-03-11,68.8975
81,2021-03-10,67.66
82,2021-03-09,68.07
83,2021-03-08,69.015
84,2021-03-05,68.575005
85,2021-03-04,65.675
86,2021-03-03,63.635
87,2021-03-02,63.28
88,2021-03-01,64.4875
89,2021-02-26,66.167496
90,2021-02-25,67.1325
91,2021-02-24,66.2525
92,2021-02-23,65.6225
93,2021-02-22,64.1275
94,2021-02-19,63.117504
95,2021-02-18,64.15
96,2021-02-17,64.0125
97,2021-02-16,63.185
98,2021-02-15,63.332497
99,2021-02-12,61.627502
100,2021-02-11,61.165
101,2021-02-10,61.260002
102,2021-02-09,60.8525
103,2021-02-08,60.2325
104,2021-02-05,59.417503
105,2021-02-04,58.715
106,2021-02-03,58.2675
107,2021-02-02,57.309998
108,2021-02-01,55.85
109,2021-01-29,55.77
110,2021-01-28,55.8
111,2021-01-27,55.93
112,2021-01-26,55.8125
113,2021-01-25,55.605
114,2021-01-22,55.237495
115,2021-01-21,55.905003
116,2021-01-20,56.2425
117,2021-01-19,55.6225
118,2021-01-18,54.822502
119,2021-01-15,55.32
120,2021-01-14,56.065002
121,2021-01-13,56.475
122,2021-01-12,56.3
123,2021-01-11,55.43
124,2021-01-08,55.145
125,2021-01-07,54.475
126,2021-01-06,54.1
127,2021-01-05,52.372498
128,2021-01-04,52.1225
129,2020-12-31,51.4275
130,2020-12-30,51.3125
131,2020-12-29,51.285
132,2020-12-28,51.4425
133,2020-12-23,50.62
134,2020-12-22,50.275
135,2020-12-21,50.302498
136,2020-12-18,51.815002
137,2020-12-17,51.447502
138,2020-12-16,50.775
139,2020-12-15,50.345
140,2020-12-14,50.1625
141,2020-12-11,50.254997
142,2020-12-10,49.895
143,2020-12-09,48.92
144,2020-12-08,48.6875
145,2020-12-07,48.94
146,2020-12-04,49.4025
147,2020-12-03,48.462498
148,2020-12-02,47.877502
149,2020-12-01,47.55
150,2020-11-30,47.477497
151,2020-11-27,47.87
152,2020-11-26,47.9375
153,2020-11-25,48.4425
154,2020-11-24,47.1025
155,2020-11-23,45.7675
156,2020-11-20,44.5275
157,2020-11-19,44.15
158,2020-11-18,44.3425
159,2020-11-17,43.684998
160,2020-11-16,43.84
161,2020-11-13,42.9875
162,2020-11-12,43.8175
163,2020-11-11,44.489998
164,2020-11-10,42.955
165,2020-11-09,41.665
166,2020-11-06,40.045
167,2020-11-05,40.9625
168,2020-11-04,40.5025
169,2020-11-03,39.7025
170,2020-11-02,37.574997
171,2020-10-30,37.552498
172,2020-10-29,37.63
173,2020-10-28,39.577496
174,2020-10-27,40.92
175,2020-10-26,40.5575
176,2020-10-23,42.035
177,2020-10-22,42.18
178,2020-10-21,42.1375
179,2020-10-20,42.59
180,2020-10-19,42.9275
181,2020-10-16,42.765
182,2020-10-15,42.74
183,2020-10-14,42.7575
184,2020-10-13,42.1825
185,2020-10-12,41.9675
186,2020-10-09,43.0925
187,2020-10-08,42.8475
188,2020-10-07,41.975
189,2020-10-06,42.055
190,2020-10-05,40.752502
191,2020-10-02,39.485
192,2020-10-01,41.33
193,2020-09-30,40.682503
194,2020-09-29,41.415
195,2020-09-28,41.9775
196,2020-09-25,41.980003
197,2020-09-24,41.6825
198,2020-09-23,41.770004
199,2020-09-22,41.6375
200,2020-09-21,41.864998
201,2020-09-18,43.275
202,2020-09-17,42.49
203,2020-09-16,41.695
204,2020-09-15,40.0975
205,2020-09-14,39.775
206,2020-09-11,39.83
207,2020-09-10,40.4325
208,2020-09-09,40.38
209,2020-09-08,40.684998
210,2020-09-07,42.079998
211,2020-09-04,43.2975
212,2020-09-03,43.9225
213,2020-09-02,45.1375
214,2020-09-01,45.79
215,2020-08-31,45.9725
216,2020-08-28,45.037502
217,2020-08-27,45.260002
218,2020-08-26,45.86
219,2020-08-25,45.59
220,2020-08-24,44.815
221,2020-08-21,44.335
222,2020-08-20,44.722504
223,2020-08-19,45.1725
224,2020-08-18,45.232502
225,2020-08-17,45.0475
226,2020-08-14,44.715
227,2020-08-13,45.184998
228,2020-08-12,45.1625
229,2020-08-11,45.105
230,2020-08-10,44.985
231,2020-08-07,44.71
232,2020-08-06,45.25
233,2020-08-05,45.172504
234,2020-08-04,44.205
235,2020-08-03,43.692497
236,2020-07-31,43.239998
237,2020-07-30,42.7425
238,2020-07-29,43.635
239,2020-07-28,43.3425
240,2020-07-27,43.177498
241,2020-07-24,43.207497
242,2020-07-23,44.225002
243,2020-07-22,44.105003
244,2020-07-21,44.0525
245,2020-07-20,42.965
246,2020-07-17,43.105003
247,2020-07-16,43.54
248,2020-07-15,43.37
249,2020-07-14,42.489998
250,2020-07-13,42.917496
251,2020-07-10,42.515
252,2020-07-09,42.715
253,2020-07-08,43.182503
254,2020-07-07,42.940002
255,2020-07-06,43.510002
256,2020-07-03,42.6675
257,2020-07-02,42.530003
258,2020-07-01,41.96
259,2020-06-30,41.25
260,2020-06-29,41.015
261,2020-06-26,41.0075
262,2020-06-25,40.4225
263,2020-06-24,41.4225
264,2020-06-23,43.0425
265,2020-06-22,42.425
266,2020-06-19,42.035
267,2020-06-18,41.0425
268,2020-06-17,40.7625
269,2020-06-16,40.395
270,2020-06-15,38.475
271,2020-06-12,38.1425
272,2020-06-11,39.4375
273,2020-06-10,40.912502
274,2020-06-09,40.5375
275,2020-06-08,41.9
276,2020-06-05,41.3725
277,2020-06-04,39.54
278,2020-06-03,39.7325
279,2020-06-02,39.1
280,2020-05-29,34.6575
281,2020-05-28,34.8
282,2020-05-27,35.14
283,2020-05-26,35.955
284,2020-05-25,35.4025
285,2020-05-22,34.572502
286,2020-05-21,36.1725
287,2020-05-20,35.2675
288,2020-05-19,34.87
289,2020-05-18,34.525
290,2020-05-15,32.1675
291,2020-05-14,30.357502
292,2020-05-13,29.4725
293,2020-05-12,30.127499
294,2020-05-11,30.2225
295,2020-05-08,30.119999
296,2020-05-07,30.0825
297,2020-05-06,30.185001
298,2020-05-05,29.8475
299,2020-05-04,26.3
300,2020-04-30,24.7525
301,2020-04-29,22.1975
302,2020-04-28,20.11
303,2020-04-27,20.197498
304,2020-04-24,21.650002
305,2020-04-23,22.0325
306,2020-04-22,19.2625
307,2020-04-21,19.6475
308,2020-04-20,26.7575
309,2020-04-17,28.235
310,2020-04-16,27.809998
311,2020-04-15,28.36
312,2020-04-14,30.447498
313,2020-04-09,33.704998
314,2020-04-08,32.217503
315,2020-04-07,33.09
316,2020-04-06,33.114998
