Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2021-07-05;76,36;77,24;75,95;77,09;;
2021-07-02;75,72;76,14;75,23;75,95;;
2021-07-01;74,75;76,71;74,67;75,53;;
2021-06-30;74,97;75,60;74,34;75,14;;
2021-06-29;74,45;75,52;73,86;74,53;;
2021-06-28;76,18;76,28;74,49;74,62;;
2021-06-25;75,78;76,21;75,00;76,08;;
2021-06-24;75,44;75,77;74,48;75,47;;
2021-06-23;75,37;75,99;75,14;75,16;;
2021-06-22;75,17;75,29;74,31;74,62;;
2021-06-21;73,74;74,93;72,98;74,82;;
2021-06-18;72,69;73,78;72,17;73,51;;
2021-06-17;74,06;74,50;72,01;72,83;;
2021-06-16;74,50;74,96;73,99;74,23;;
2021-06-15;73,18;74,03;73,04;73,92;;
2021-06-14;73,12;73,65;72,73;72,74;;
2021-06-11;72,49;73,09;72,30;72,84;;
2021-06-10;71,79;72,92;70,97;72,48;;
2021-06-09;72,52;72,89;71,81;72,01;;
2021-06-08;71,07;72,07;70,70;71,84;;
2021-06-07;71,27;71,95;71,11;71,64;;
2021-06-04;71,42;72,19;71,29;71,79;;
2021-06-03;71,66;71,80;70,65;71,19;;
2021-06-02;70,44;71,49;70,41;71,26;;
2021-06-01;70,33;71,35;69,96;70,17;;
2021-05-31;69,21;69,82;69,17;69,46;;
2021-05-28;69,34;69,90;69,19;69,79;;
2021-05-27;68,34;69,23;68,09;69,10;;
2021-05-26;68,90;69,17;68,01;68,79;;
2021-05-25;68,46;68,81;67,82;68,65;;
2021-05-24;67,49;68,58;67,19;68,51;;
2021-05-21;65,21;66,94;64,57;66,58;;
2021-05-20;66,92;67,15;64,98;65,09;;
2021-05-19;68,16;68,27;65,29;66,61;;
2021-05-18;69,77;70,25;67,28;68,65;;
2021-05-17;68,73;69,63;68,22;69,51;;
2021-05-14;66,82;68,70;66,66;68,65;;
2021-05-13;68,06;68,10;66,45;66,93;;
2021-05-12;69,05;69,89;68,38;69,64;;
2021-05-11;67,81;68,77;67,13;68,60;;
2021-05-10;68,72;69,10;67,38;68,37;;
2021-05-07;68,28;68,49;67,35;68,28;;
2021-05-06;69,03;69,37;67,97;68,14;;
2021-05-05;69,30;69,97;68,34;68,67;;
2021-05-04;67,64;69,03;67,50;68,54;;
2021-05-03;66,69;67,83;66,16;67,59;;
2021-04-30;68,33;68,40;67,11;67,19;;
2021-04-29;67,65;68,98;67,54;68,37;;
2021-04-28;66,44;67,86;66,20;67,34;;
2021-04-27;66,17;66,46;65,68;66,06;;
2021-04-26;65,48;66,04;64,59;65,83;;
2021-04-23;65,83;66,30;65,14;65,93;;
2021-04-22;65,14;65,60;64,57;65,25;;
2021-04-21;66,39;66,52;64,93;65,36;;
2021-04-20;67,76;68,07;65,53;66,40;;
2021-04-19;66,43;67,20;66,38;67,09;;
2021-04-16;67,13;67,29;66,45;66,91;;
2021-04-15;66,61;67,01;65,92;66,97;;
2021-04-14;64,61;66,90;64,22;66,63;;
2021-04-13;63,79;64,20;63,27;63,57;;
2021-04-12;62,62;64,30;62,38;63,30;;
2021-04-09;62,90;63,35;62,57;62,95;;
2021-04-08;62,78;63,42;62,38;63,09;;
2021-04-07;62,96;63,52;61,57;63,09;;
2021-04-06;62,66;64,27;62,59;62,71;;
2021-04-01;63,24;65,05;62,47;64,87;;
2021-03-31;64,64;64,80;63,52;63,66;;
2021-03-30;64,67;65,15;63,52;64,10;;
2021-03-29;63,66;65,44;63,53;64,85;;
2021-03-26;63,11;64,91;62,89;64,41;;
2021-03-25;63,55;63,86;60,97;61,81;;
2021-03-24;61,45;64,57;61,45;64,25;;
2021-03-23;63,89;63,96;60,49;60,56;;
2021-03-22;63,78;65,02;63,78;64,61;;
2021-03-19;63,12;64,57;62,07;64,38;;
2021-03-18;67,31;68,14;64,10;64,41;;
2021-03-17;68,74;68,76;66,94;68,08;;
2021-03-16;68,50;68,67;67,50;68,33;;
2021-03-15;69,95;69,98;67,85;68,76;;
2021-03-12;69,39;69,92;69,13;69,17;;
2021-03-11;68,25;69,68;68,15;69,51;;
2021-03-10;67,61;68,44;66,79;67,80;;
2021-03-09;68,19;69,31;67,35;67,43;;
2021-03-08;70,16;70,26;67,80;67,84;;
2021-03-05;67,86;69,58;67,54;69,32;;
2021-03-04;64,64;67,71;63,38;66,97;;
2021-03-03;62,89;64,70;62,59;64,36;;
2021-03-02;62,80;64,13;62,64;63,55;;
2021-03-01;65,47;65,55;63,19;63,74;;
2021-02-26;66,38;66,57;65,66;66,06;;
2021-02-25;67,65;67,73;66,47;66,68;;
2021-02-24;65,38;67,29;65,18;67,16;;
2021-02-23;66,05;66,57;64,45;65,42;;
2021-02-22;63,33;65,05;63,15;64,98;;
2021-02-19;63,02;63,97;62,46;63,02;;
2021-02-18;64,99;65,08;63,24;63,29;;
2021-02-17;63,94;64,77;63,11;64,23;;
2021-02-16;63,41;63,42;62,67;63,24;;
2021-02-15;63,42;63,68;63,05;63,18;;
2021-02-12;60,61;62,85;60,33;62,72;;
2021-02-11;61,18;61,50;60,82;61,16;;
2021-02-10;61,02;61,67;60,95;61,40;;
2021-02-09;61,00;61,23;60,03;61,15;;
2021-02-08;60,11;60,65;59,83;60,34;;
2021-02-05;59,19;59,78;59,13;59,57;;
2021-02-04;58,94;59,06;58,03;58,83;;
2021-02-03;58,01;58,91;57,65;58,50;;
2021-02-02;56,85;58,04;56,84;57,51;;
2021-02-01;55,59;56,32;55,26;56,23;;
2021-01-29;55,44;56,38;55,35;55,91;;
2021-01-28;55,56;56,58;55,30;55,76;;
2021-01-27;56,14;56,48;55,19;55,91;;
2021-01-26;55,50;56,34;55,50;55,91;;
2021-01-25;55,74;56,01;55,08;55,59;;
2021-01-22;55,31;55,72;54,46;55,46;;
2021-01-21;55,83;56,22;55,46;56,11;;
2021-01-20;56,33;56,62;55,98;56,04;;
2021-01-19;55,37;56,09;55,09;55,94;;
2021-01-18;54,82;55,23;54,52;54,72;;
2021-01-15;55,72;55,83;54,62;55,11;;
2021-01-14;56,32;56,45;55,21;56,28;;
2021-01-13;56,92;57,12;55,76;56,10;;
2021-01-12;56,08;56,73;55,88;56,51;;
2021-01-11;55,16;55,87;55,02;55,67;;
2021-01-08;54,72;55,65;54,63;55,58;;
2021-01-07;54,56;54,77;54,07;54,50;;
2021-01-06;53,70;54,74;53,37;54,59;;
2021-01-05;50,99;53,87;50,87;53,76;;
2021-01-04;53,08;53,34;50,74;51,33;;
